Case ID,Case Name,Citation,Year,Provision(s) in Dispute,Question(s) presented?,Characterized Answer,Characterized Explanation,Oyez Answer,Difference Flag,Opinion Length,Vote Count,Vote Split,Majority,Plurality,Concurrence,Dissent,I-Length,I-Count-Pink,I-Count Green,I-Count-Blue,I-Count-Orange,I-Count-Purple,I-Count-Yellow,MA1-Length,MA1-Count-Pink,MA1-Count Green,MA1-Count-Blue,MA1-Count-Orange,MA1-Count-Purple,MA1-Count-Yellow,R-Length,R-Count-Pink,R-Count Green,R-Count-Blue,R-Count-Orange,R-Count-Purple,R-Count-Yellow,C-Length,C-Count-Pink,C-Count-Blue,C-Count Green,C-Count-Orange,C-Count-Purple,C-Count-Yellow
1,"Hein v. Freedom From Religion Foundation, Inc.",551 U.S. 587 (2007),2006,"Establishment Clause, First Amendment,Case or Controversy Clause, Article III: Standing","Do plaintiffs have standing as taxpayers to bring Establishment Clause 
challenges against Executive Branch actions that are funded by general
appropriations rather than by a specific act of Congress?",No,"employed largely doctrinal
and pragmatic reasoning",,0,25,"5,4",1,"Alito;Roberts,Kennedy",,Kennedy:Scalia;Thomas,"Souter;Stevens,Ginsburg",6,0,0,0,0,0,0,5,59,6,0,3,0,0,13,101.5,65,0,32,0,0,1,9,0,0,0,0,0
2,"Ledbetter v. The Good Year Tire & Rubber Company, Inc.",550 U.S. 618 (2007),2006,Title VII of the Civil Rights Act of 1964,"Can a plaintiff bring a salary discrimination suit under Title VII of the Civil Rights Act of 1964 when the disparate pay is received during the 180-day statutory limitations period, but is the result of discriminatory pay decisions that occurred outside the limitations period?",No,employed largely doctrinal reasoning,,1,24,"5,4",1,"Alito;Roberts,Scalia,Kennedy,Thomas",,,"Ginsburg;Stevens,Souter,Breyer",3,0,0,0,0,0,0,15,151,52,0,37,7,0,4.5,39,13,0,0,9,0,0,0,0,0,0,0,0
3,National Association of Home Builders et al v. Defenders of Wildlife et al.,551 U.S. 644 (2007),2006,"Section 402(b) of the Clean Water Act,Section 7(a)(2) of the Endangered Species Act of 1973","Does Section 7(a)(2) of the Endangered Species Act of 1973 effectively
operate as a tenth criterion on which the transfer of EPA permitting 
power to state authorities under Section 402(b) of the Clean Water Act 
must be conditioned? ",No,employed primarily doctrinal and textual reasoning,,2,26,"5,4",1,"Roberts,Scalia,Kennedy,Thomas,Alito",,,"Stevens,Souter,Ginsburg,Breyer",9,0,0,0,0,0,0,11,106,51,0,0,31,91,4.5,24,0,0,11,0,46,0.5,2,0,0,0,0,5
4,Allison Engine Co. v. U.S. ex. rel. Sanders,553 U.S. 662 (2008),2007,“Present[ment]” requirement in the False Claims Act,Must whistleblower claimants prove that a private company directly presented a fraudulent bill to the government in order to prevail in a False Claims Act case?,Yes,mainly textualist analysis,,0,10,"9,0",0,"Alito,Roberts,Stevens,Scalia,Kennedy,Souter,Thomas,Ginsburg,Breyer",,,,1.25,0,0,0,0,0,0,2.5,0,14,0,6,0,44,3.25,0,14,0,7,0,43,0,0,0,0,0,0,0
5,Davis v. FEC,554 U.S. 724 (2008),2007,Campaign finance laws and the 1st Amendment (& Equal Protection principle of 5th),"Does the Millionaire's Amendment to the 2002 campaign finance law, which raises the contribution limit for those running against a self-financed candidate, violate free speech clause of the First Amendment and the equal protection principle of the Fifth Amendment?",Yes,"Mainly doctrinal analysis re: Buckley precedent, pragmatic discussion showing impact",,2,18,"5,4",1,"Alito,Thomas,Scalia,Roberts,Kennedy",,,"Stevens,Souter,Ginsburg,Breyer",5,0,0,0,0,0,0,10,110.5,98.5,0,0,0,0,3,28,29,0,7.5,0,0,3.5,0,0,0,0,0,0
6,MeadWestvaco Corporation v. Illinois Department of Revenue,553 U.S. 16 (2008),2007,"Doctrinal question re: how a prior case does or doesn’t control the current tax and
corporate structure dispute","Under the governing Supreme Court precedent, Allied-Signal, Inc. v. Director, Div. of
Taxation, 504 U.S. 768 (1992), may a parent company use a division as a non-
taxable investment when the division is involved in a substantially different
business segment but the parent provides cash infusions, investment advice and
oversight?",,primarily doctrinial reasoning,,0,15,"9,0",0,"Alito;Roberts,Stevens,Scalia,Kennedy,Souter,Thomas,Ginsburg,Breyer",,Thomas;,,5.5,0,0,0,0,0,0,7,90,0,0,13,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0
7,Richlin Security Service Co. v. Chertoff,553 U.S. 571 (2008),2007,Equal Access to Justice Act – reimbursement rates for “fees and other expenses”,"Is a plaintiff who has successfully sued the federal government entitled to reimbursement of paralegal feels at market rates or as an expense compensable at cost ot the firm under the Equal Access to Justice Act, which allows for recovery of ""fees and other expenses"" incurred in the proceedings?",Yes,"two parts, one textual, one doctrinal",,2,18,"9,0",0,"Alito;Roberts,Stevens,Scalia,Kennedy,Souter,Thomas,Ginsburg,Breyer,Thomas",,,,0.25,0,0,0,0,0,0,3,43,0,0,0,0,6.25,12,68,30,0,91,0,61.5,7,0,0,0,0,0,0
8,Snyder v. Louisiana,552 US 472 (2008),2007,Equal Protection Clause,"Did the state’s dismissal by peremptory challenge of all of the black potential jurors, combined with the prosecution’s comparisons of the case to the O.J. Simpson trial, amount to a violation of the Equal Protection Clause?",Yes,"primarily pragmatic reasoning, some doctrinal reasoning",,2,13,"7,2",2,"Alito;Roberts,Stevens,Kennedy,Souter,Ginsburg,Breyer",,,Thomas;Scalia,3,0,0,0,0,0,0,10,44,125,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
9,U.S. v. Rodriquez,553 U.S. 377 (2008),2007,Armed Career Criminal Act (ACCA) 18 U.S.C. §924(e)(2)(A)(ii),,Yes,green and yellow reasons,,0,14,"6,3",2,"Alito;Roberts,Scalia,Kennedy,Thomas,Breyer",,,"Souter;Stevens,Ginsburg",3,0,0,0,0,0,0,2,0,31,0,0,0,8,9,33.5,42,0,44.5,0,14.5,0/6,0,0,0,0,0,0
10,Fitzgerald v. Barnstable School Committee,555 U.S. 246 (2009),2008,"Title IX of the Education Amendments of 1972,42 U.S.C. §1983",Is Title IX’s implied private remedy sufficiently comprehensive to preclude the use of 42 U.S.C. Section 1983 to advance sex discrimination claims against  federally funded institutions?,No,"employs largely purposive-ism, some doctrinal reasoning.",,2,13,"9,0",0,"Alito;Roberts,Stevens,Scalia,Kennedy,Souter,Thomas,Ginsburg,Breyer",,,,4,0,0,0,0,0,0,8.5,52,0,0,108,2,3,0,0,0,0,0,0,0,0/4,0,0,0,0,0,0
11,Hawaii v. Office of Hawaiian Affairs,556 U.S. 163 (2009),2008,Apology resolution,"Does the symbolic Apology Resolution restrict the State of Hawaii's sovereign authority to transfer publicly held land for private development, at least until claims over such land are resolved?",No,employs a lot of textualism,,0,11,"9,0",0,"Alito;Roberts,Stevens,Scalia,Kennedy,Souter,Thomas,Ginsburg,Breyer",,,,5.5,0,0,0,0,0,0,3.5,5,14,0,0,0,27,2,8,11,0,0,0,25,0.5,0,8,0,8,0,0
12,Horne v. Flores,557 U.S. 433 (2009),2008,"Case-or-controversy requirement of Article III,Federal Rule of Civil Procedure 60(b)(5)","Did the lower courts err in their analysis under Rule 60(b)(5) regarding Arizona's contention that changes in education law, including increased state funding,  changes in the management of the school district involved, and passage of the No Child Left Behind Act had so altered the foundations of prior court rulings that relief from such judgments was warranted?",Yes,"mostly pragmatic, some purposive-ism",,2,36,"5,4",1,"Alito;Roberts,Scalia,Kennedy,Thomas",,,"Breyer;Stevens,Souter,Ginsburg",7.5,0,0,0,6,0,0,19,10,231,0,60,11,4,9,11,71,0,0,0,14,0/4,0,0,0,0,0,0
13,Kansas v. Colorado,556 U.S. 98 (2009),2008,28 USC §1821(b),Should expert witness attendance fees available in cases brought before the supreme court be the same as those available in the federal district courts?,Yes,pragmatic,,0,5,"9,0",,"Alito;Roberts,Stevens,Scalia,Kennedy,Souter,Thomas,Ginsburg,Breyer",,Roberts;Souter,,4,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0/5,0,0,0,0,0,0
14,Pleasant Grove City v. Summum,555 U.S. 460 (2009),2008,Free Speech Clause of the First Amendment,Does a city’s refusal to place a religious organization’s monument in a public park violate that organization’s First Amendment free speech rights when the park already contains a monument from a different religious group?,No,vast majority pragmatic reasoning,,0,18,"9,0",0,"Alito;Roberts,Stevens,Scalia,Kennedy,Thomas,Ginsburg,Breyer",,Stevens;Ginsburg:Scalia;Thomas:Breyer:Souter,,3,0,0,0,0,0,0,10,14,116,0,0,0,0,5,0,49,0,0,0,0,0/6,0,0,0,0,0,0
15,Hamilton v. Lanning,560 U.S. 505 (2010),2009,Chapter 13 Repayment Plan,"In calculating a debtor's ""projected disposable income"", may the bankruptcy court consider evidence suggesting that the debtor's income or expenses during that period are likely to be different from the debtor's income or expenses during the pre-filing period?",Yes,bankruptcy courts should use a forward looking approach. Mostly orange and yellow,,2,18,"8,1",2,"Alito,Thomas,Kagan,Sotomayor,Ginsburg,Breyer,Kennedy,Roberts",,,Scalia,6,0,0,0,0,0,0,5.5,6,0,0,27,4,37,5.5,0,53,0,12,8,13,1,0,2,0,0,0,2
16,Jones v. Harris Associates L.P.,559 U.S. 335 (2010),2009,Section 36(b) of the Investment Company Act,"Did the Seventh Circuit err in holding that claims alleging mutual fund management&#39;s fees were too high is not cognizable under Section 36(b) of the Investment Company Act, when that holding is in conflict with those in three other circuits?",Yes,,,0,17,"9,0",0,"Alito;Roberts,Stevens,Scalia,Kennedy,Ginsburg,Breyer,Sotomayor",,Thomas,,6,0,0,0,0,0,0,11,65,56,0,26,27,5,0,0,0,0,0,0,0,0/3,0,0,0,0,0,0
17,Mac’s Shell Service v. Shell Oil Products Co.,559 US 175 (2010),2009,Petroleum Marketing Practices Act (PMPA),"Does the PMPA encompass a claim for ""constructive nonrenewal"" of franchies's lease when: i) franchies filed suit prior to receiving new lease agreements that violated the act, ii) lease agreements were presented on a take it or leace it bases, iii) franchisor states it would terminate the leases unless franchisees signed the new agreements, and iv) franchisees signed lease agreements under protest and pursues their legal claims against the franchisor?",No,lots of different reasoning,,1,20,"9,0",0,"Alito;Roberts,Stevens,Scalia,Kennedy,Thomas,Ginsburg,Breyer,Sotomayor",,,,5,0,0,0,0,0,0,12,22,42,0,62,61,67,2,0,22,0,7,0,20,,0,9,0,0,0,0
18,McDonald v. Chicago,561 U.S. 742 (2010),2009,Second amendment,Does the Second Amendment apply to the states because it is incorporated by the Fourteenth Amendment's Privileges and Immunities or Due Process clauses and thereby made applicable to the states?,Yes,Really doctrinal but a lot of originalism to make it seem constitutional,,0,45,"5,4",1,"Alito;Thomas,Scalia,Kennedy,Roberts",,,"Sotomayor;Ginsburg,Breyer,Stevens",10,25,0,0,0,0,0,,24,14,167,4,0,0,0,106,67,26,0,12,12,0,7,0,0,0,0,0
19,Monsanto Co. v. Geertson Seed Farms,561 US 139 (2010),2009,Animal and Plant Health Inspection Service,"Did the ninth circuit err in holding that the plaintiffs are exempt from showing a ""likelihood of irreparable harm"" to obtain an injunction? And in holding that a district court may enter an injunction without conducting an evidentiary hearing?","No,Yes",practical considerations,,0,24,"7,1",2,"Alito,Scalia,Sotomayor,Roberts,Kennedy,Thomas,Ginsburg",,,Stevens,6,0,0,0,0,0,0,12,45,143,0,0,0,0,7.5,19,50,0,0,0,0,0.5,0,0,0,0,0,0
20,Perdue v. Kenny A.,559 U.S. 542 (2010),2009,Federal fee-shifting statute,Can the reasonable attorneys' fee award under a federal fee-shifting statute ever be enhanced based solely on the quality of performance and results obtained?,Yes,mostly pragmatic,,0,15,"5,4",1,"Alito;Roberts,Scalia,Thomas",,Kennedy;Thomas,"Breyer;Stevens,Ginsburg,Sotomayor",5,0,0,0,0,0,0,8,45,67,0,10,0,0,2,2,33,0,0,0,0,0/3,0,0,0,0,0,0
21,South Carolina v. North Carolina,558 US 256 (2010),2009,"Water rights dispute, rights of parties to intervene","Can the city of Charlotte NC, the Catawba River Water Supply Project, and Duke Energy Carolinas LLC, which are non-state entities, be allowed to intervene as defendants in a case originating in the supreme court about a water rights disoute between two states?","Yes (CRWSP, DE), No (CH)",mostly pragmatic,,0,18,"5,4",1,"Alito;Stevens,Scalia,Kennedy,Breyer",,,"Roberts;Thomas,Ginsburg,Sotomayor",6,0,0,0,0,0,0,12,28,151,0,28,0,0,0,0,0,0,0,0,0,0/4,0,0,0,0,0,0
22,Stolt-Nielsen v. Animalfeeds International Corp.,559 U.S. 662 (2010),2009,Federal Arbitration Act,Is imposing class arbitration on parties whose arbitration clauses are silent on that issue consistent with the Federal Arbitration Act?,No,mostly pragmatic,,1,24,"5,3",2,"Alito;Roberts,Scalia,Kennedy,Thomas",,,"Ginsburg;Stevens,Breyer",6,0,0,0,0,0,0,12,23,93,0,25,0,0,0.5,4,3,0,0,0,0,0/3,0,0,0,0,0,0
23,Davis v. United States,564 U.S. 229 (2011),2010,The exclusionary rule,Does the fgood faith exception to the exclusionary rule apply to a search that was authorized by precedent at the time of the search but is subsequently ruled unconstitutional?,Yes,pragmatism and precedent,,3,20,"7,2",2,"Alito,Scalia,Sotomayor,Kagan,Roberts,Kennedy,Thomas",,,"Breyer,Ginsburg",8.5,26,37,0,0,0,0,2.5,48,66,0,0,0,0,8.5,99,123,0,0,0,0,0.5,0,8,0,0,0,0
24,Global-Tech Appliances v. SEB,563 U.S. 754 (2011),2010,35 U. S. C. §271(b),Does induced infringement under the patent clause require knowledge that the induced acts constitute patent infringement?,Yes,precedent and pragmatism,,3,16,"8,1",2,"Alito;Scalia,Breyer,Ginsburg,Sotomayor,Kagan,Roberts,Thomas",,,Kennedy,3,0,0,0,0,0,0,11.5,69,37,0,0,0,14,0.5,0,6,0,0,0,0,1,0,0,0,0,0,0
25,Hendrson v. Shineski,562 US 428 (2011),2010,"38 U.S.C. § 7266(a) (Veteran’s claim for federal benefits, timing for appeal)",Is the time limit in 38 U.S.C. § 7266(a) subject to equitable tolling?,Yes,"orange, congressional intent",,3,13,"8,0",1,"Alito,Thomas,Scalia,Kennedy,Roberts,Sotomayor,Ginsburg,Breyer",,,,4,0,0,0,0,0,0,,53,26,0,116,63,8,,7,0,0,17,5,0,1,0,0,0,0,0,0
26,Kentucky v. King,563 U.S. 452 (2011),2010,The exclusionary rule,"Does the exclusionary rule, which forbids the use of illegally seized evidence except in emergency situations, apply when the emergency is created by lawful police actions?",Yes,practical considerations,,3,19,"8,1",2,"Alito;Scalia,Breyer,Sotomayor,Kagan,Roberts,Kennedy,Thomas",,,Ginsburg,4,0,0,0,0,0,0,7,44,41,0,12,0,0,7.5,24,129,0,0,0,0,0.5,0,0,0,0,0,0
27,United States v. Jicarilla Apache Nation,564 US 162 (2011),2010,Attorney-client privilege,"Does the attorney client privilege entitle the United States to withhold from an Indian tribe confidential communications between governemnt and government attorneys, implicating the administration of statutes pertaining to property held in trust for the tribe?",Yes,practical considerations,,3,24,"7,1",2,"Alito,Scalia,Roberts,Kennedy,thomas,Ginsburg,Breyer",,,Sotomayor,5,0,0,0,0,0,0,9,29,44,0,41,0,0,9,9,94,0,37,0,24,1,0,7,0,0,0,0
28,Wall v. Kholi,562 U.S. 545 (2011),2010,Statute of limitations under AEDPA,"“Inmates have one year to file a habeas challenge to their sentence in federal court after conviction. The running of that time is delayed while the conviction is under review in state court. Is the time also tolled while a state court considers an inmate's request for a sentence reduction?""",Yes,pragmatism and precedent,,3,15,"9,0",0,"Alito;Scalia,Breyer,Sotomayor,Kagan,Roberts,Kennedy,Thomas,Ginsburg",,,,4.5,0,0,0,0,0,0,6,42,22,0,6,0,52,4.5,20,39,0,18,0,3,0,0,0,0,0,0,0
29,Christopher v. Smithkline,567 U.S. 143 (2012),2011,Fair Labor Standards Act,"Must Glaxo and the courts defer to the Secretary of Labor's definition of ""outside
salesman"" under the Fair Labor Standards Act?|Does the Secretary of Labor's definition of ""outside salesman"" apply to
pharmaceutical sales representatives?",,Pragmatic,,2,25,"5,4",1,"Alito;Thomas,Scalia,Kennedy,Roberts",,,"Kagan;Sotomayor,Ginsburg,Breyer",8,0,0,0,3,0,0,13,24,86,0,19,11,67,5,0,47,0,3,0,51,0,0,0,0,0,0,0
30,FAA v. Cooper,566 U.S. 284 (2012),2011,Actual damages provision of the privacy act,Does the privacy act's actual damages provision cover mental and emotional distress,no,yellow and orange,,2,25,"5,3",2,"Alito,Thomas,Scalia,Kennedy,Roberts",,,"Sotomayor;Ginsburg,Breyer",5,0,0,0,0,0,0,14,22,3,0,30,0,70,5,0,30,0,19,0,19,1,0,0,0,0,0,2
31,Howes v. Fields,565 U.S. 499 (2012),2011,Miranda,Does federal law automatically require Miranda warnings before questioning jail or prison inmates about issues unrelated to the cases for which they were incarcerated?,No,pramatic and precedent,,0,16,"6,3",2,"Alito;Thomas,Scalia,Kennedy,Roberts,Kagan",,,"Sotomayor;Ginsburg,Breyer",4,0,0,0,0,0,0,,63,181,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,2
32,Knox v. Service Employees International Union,567 U.S. 298 (2012),2011,Does union contract violate first and fourteenth amendments,"May a state consistent with the first and fourteenth amendments, condition employment on the payment of a special union assessment intended solely for political and ideological expenditures without first providing a notice that includes information about that assessment and provides an opportunity to object to its exaction and condition public employment on the payment of union agency fees for the purposes of financing political expenditures for ballot measures?",No,green,,0,23,"7,2",2,"Alito,Thomas,Scalia,Kennedy,Roberts,Sotomayor,Ginsburg",,,"Kagan,Breyer",6,0,0,0,0,0,0,,77,124,0,58,0,0,,48,57,0,2,0,0,1,0,0,0,17,0,0
33,Rehberg v. Paulk,556 U.S. 356 (2012),2011,Grand jury witness immunity in a §1983 action,Are government officials who initiate prosecutions by providing false testimony in judicial proceedings absolutely immune from civil suit?,Yes,precedent,,0,18,"9,0",0,"Alito;Scalia,Roberts,Kennedy,Thomas,Ginsburg,Breyer,Sotomaor,Kagan",,,,2.5,0,0,0,0,0,0,9.5,111,58,0,8,0,0,4.5,0,81,20,0,0,0,0.5,0,0,0,0,0,0
34,Taniguchi v. Kan Pacific,566 U.S. 560 (2012),2011,U.S.C. Section § 1920(6),"Are costs incurred in translating documents ""compensation of interpreters"" under U.S.C. Section § 1920(6)?",No,literal meaning of statute,,2,15,"6,3",2,"Alito,Scalia,Roberts,Kennedy,Thomas,Kagan",,,"Ginsburg,Breyer,Sotomayor",3,0,0,0,0,0,0,6.5,5,0,0,9,43,80,4,13,20,0,13,0,42,0.5,0,0,0,0,0,4
35,Williams v. Illinois,567 U.S. 50 (2012),2011,6th Amendment Confrontation Clause,"""Can an expert witness be called as a stand-in for a lab analyst who actually did a test on criminal evidence, but did not appear at the trial?""",Yes,precedent,,1,33,"5,4",1,"Alito;Roberts,Kennedy,Thomas,Breyer",,,"Scalia;Ginsburg,Sotomayor,Kaga",11,74,0,0,0,0,0,11.5,156,108,19,0,0,0,10,12,200,0,0,0,20,0.5,0,0,0,0,0,0
36,Adoptive Couple v. Baby Girl,570 U.S. 637 (2013),2012,"ICWA, §1912(f) and §1912(d)","Can a non-custodial parent invoke ICWA to block an adoption voluntarily and lawfully initiated by a non-Indian parent under state law?|Does ICWA define ""parent"" to include an unwed biological father who has not complied with state law rules to attain legal status as a parent?",No,incorrect interpretation of the language of the statute,,1,17,"5,4",1,"Alito;Thomas,Breyer,Kennedy,Roberts",,,"Kagan;Sotomayor,Ginsburg,Scalia",2,0,0,0,0,0,0,9,0,18,0,4,43,63,6,0,14,0,40,0,28,0,0,0,0,0,0,0
37,Clapper v. Amnest International,568 US 398 (2013),2012,Article III of the constitution,Do respondents have article III standing to seek prospective relief under FISA?,No,pragmatic and doctrinal,,2,24,"5,4",1,"Alito;Roberts,Scalia,Kennedy,Thomas",,,"Breyer;Ginsburg,Sotomayor,Kagan",8,0,0,0,0,0,0,7,46,100,0,16,0,0,8,92,73,0,0,0,0,7,0,0,0,0,0,0
38,Johnson v. Wlliams,568 U.S. 289 (2013),2012,"Sixth Amendment jury trial claim,28 U.S.C. § 2254",Is a habeas petitioner’s claim “adjudicated on the merits” if the state court denied relief in an explained decision but did not expressly acknowledge the federal-law basis for the claim?,Yes,pragmatic,,0,16,"9,0",0,"Alito;Roberts,Kennedy,Thomas,Ginsburg,Breyer,Sotomayor,Kagan",,Scalia,,6.5,0,0,0,0,0,0,3,14,43,0,0,0,0,6,0,68,0,7,0,27,0/5,0,0,0,0,0,0
39,Mutual Pharmaceutical Co. v. Bartlett,570 US 472 (2013),2012,"The federal food, drug, and cosmetic act",Does federal law preempt a state design defect claim against a generic drug manufacturer?,Yes,practical considerations and precedent,,0,20,"5,4",1,"Alito,Scalia,Roberts,Kennedy,Thomas",,,"Ginsburg,Breyer,Sotomayor,Kagan",5,8,4,0,0,0,0,5,42,68,0,3,0,0,9.5,113,121,0,4,0,5,0.5,3,13,0,0,0,0
