Case ID,Case Name,Citation,Year,Provision(s) in Dispute,Question(s) presented?,Characterized Answer,Characterized Explanation,Oyez Answer,Difference Flag,Opinion Length,Vote Count,Vote Split,Majority,Plurality,Concurrence,Dissent,I-Length,I-Count-Pink,I-Count Green,I-Count-Blue,I-Count-Orange,I-Count-Purple,I-Count-Yellow,MA1-Length,MA1-Count-Pink,MA1-Count Green,MA1-Count-Blue,MA1-Count-Orange,MA1-Count-Purple,MA1-Count-Yellow,R-Length,R-Count-Pink,R-Count Green,R-Count-Blue,R-Count-Orange,R-Count-Purple,R-Count-Yellow,C-Length,C-Count-Pink,C-Count-Blue,C-Count Green,C-Count-Orange,C-Count-Purple,C-Count-Yellow
40,Salinas v. Texas,570 U.S. 178 (2013),2012,"Self-Incrimination Clause, Fifth Amendment",Does the Fifth Amendment’s Self-Incrimination Clause protect a defendant’s refusal to answer questions asked by law enforcement before he has been arrested or read his Miranda rights?,No,doctrinal and pragmatic,,0,12,"5,4",1,"Alito;Roberts,Kennedy",,Thomas;Scalia,"Breyer;Ginsburg,Sotomayor,Kagan",3,0,3,0,0,0,0,2.5,40,23,0,7,0,0,5.5,33,66,0,0,0,4,0/4,0,0,0,0,0,0
41,Vance v. Ball State,570 US 421 (2013),2012,workplace harassment under title VII,can a coworker who is vested with the authority to oversee the daily work of another worker be considered a supervisor for the purpose of determining employer liability for workplace harassment?,No,pragmatic,,2,30,"5,4",1,"Roberts,Scalia,Kennedy,Alito",,Thomas,"Kagan,Sotomayor,Ginsburg,Breyer",4.5,0,0,0,0,0,0,14.5,120,70,0,0,0,25,10.5,17,89,0,0,0,0,0.5,0,0,0,0,0,0
42,"Atlantic Marine Construction Co., Inc v. US Dist. Ct for the Western Dist of TX",571 U.S. 49 (2013),2013,28 U.S.C. § 1404(a),"Did the Supreme Court&#39;s decision in Stewart Organization, Inc. v. Ricoh Corp. limit review of forum selection clauses to a discretionary, balancing-of-conveniences analysis under 28 U.S.C. § 1404(a) | If so, who has the burden of proof when a party seeks to enforce or avoid a forum selection clause?",Yes,precedent and pragmatism,,0,18,"9,0",0,"Alito;Scalia,Breyer,Sotomayor,Kagan,Roberts,Kennedy,Thomas,Ginsburg",,,,3,0,0,0,0,0,0,11,73,91,0,0,29,70,4,24,55,0,17,3,7,0,0,0,0,0,0,0
43,Burt v. Titlow,571 U.S. 12 (2013),2013,antiterrorism and effective death penalty act,did the sixth circuit give appropriate deference to the michigan trial court under the AEDPA? Can a defendant establish prejudice in an ineffective assisstance claim by presenting subjective testimony that he would have accepted the plea offer absent the attorney's deficient advice? does the court's decision in Lafler v. Cooper require a state trial court to resentence a defendant when he claims that ineffective assistance of ocnsel led him to reject a plea offer?,no,practical considerations and precedent,,0,11,"9,0",0,"Alito,Scalia,Breyer,Ginsburg,Sotomayor,Kagan,Roberts,Kennedy,Thomas",,,,4,0,0,0,0,0,0,4,25,23,0,8,0,34,3,11,26,0,0,0,0,0,0,0,0,0,0,0
44,Burwell v. Hobby Lobby Stores,573 U.S. 682 (2014),2013,Religious Freedom Restoration Act of 1993,Does the Religious Freedom Restoration Act of 1993 allow a for-profit company to deny its employees health coverage of contraception to which the employees would otherwise be entitled based on the religious objections of the company's owners?,Yes,purposive-ism and pragmatism,,0,49,"5,4",1,"Alito;Roberts,Kennedy,Scalia,Thomas",,,"Ginsburg;Breyer,Sotomayor,Kagan",15.5,0,2,0,0,0,0,5.5,0,44,0,0,0,43,29,116,242,0,75,11,46,0,0,0,0,0,0,0
45,Harris v. Quinn,573 US 616 (2014),2013,"first amendment, fair share provision for union fees (part of overturning Abood sequence)",does the fair share provision in the collective bargaining agreement between the state of Illinois and the union representative violate the first amendment rights to freedom of speech and freedom of association of personal assistants who are not members of the union?,Yes | Unanswered,pragmatism and precedent,,0,39,"5,4",1,"Alito,Roberts,Kennedy,Scalia,Thomas",,,"Ginsburg,Breyer,Sotomayor,Kagan",8,0,0,0,0,0,0,21,238,179,0,0,6,5,9,70,131,0,0,0,0,0.5,0,6,0,6,0,0
46,Limelight v. Akamai,574 U.S. 915 (2014),2013,"35 U.S.C. § 271(a) and § 271(b),federal laws prohibiting patent infringement",“Did the Federal Circuit court err in holding that a defendant may be liable for inducing patent infringement under § 271(b) even if no party committed direct infringement under §271(a)?”,Yes,precedent and pragmatism,,0,11,"9,0",0,"Alito;Scalia,Breyer,Sotomayor,Kagan,Roberts,Kennedy,Thomas,Ginsburg",,,,4,0,0,0,0,0,0,4,39,0,0,8,18,0,3,23,31,0,0,3,3,0,0,0,0,0,0,0
47,Northwest v. Ginsberg,572 U.S. 273 (2014),2013,airline deregulation act of 1978,"are claims arising from a frequent flyer program contract preempted by the airline deregulation act as dealing with the price, route, or service of an air carrier?",Yes,pragmatism,,1,14,"9,0",0,"Alito;Scalia,Breyer,Sotomayor,Kagan,Roberts,Kennedy,Thomas,Ginsburg",,,,5.5,0,0,0,0,0,0,5,17,34,0,23,0,28,3,18,44,0,0,21,0,0.5,0,3,0,0,0,0
48,Plumhoff v. Rickard,572 U.S. 765 (2014),2013,Qualified immunity for police officers,Did the Sixth Circuit err when it looked at whether subsequent case law supported the police's actions rather than determining if the police's actions were prohibited in 2004?|Did the Sixth Circuit properly dismiss the police's qualified immunity defense by finding that the police acted unreasonably?”,Yes,precedent,,1,15,"9,0",0,"Alito;Scalia,Breyer,Sotomayor,Kagan,Roberts,Kennedy,Thomas,Ginsburg",,,,4,0,0,0,0,0,0,7.5,162,57,0,0,0,0,3,49,32,0,0,0,0,0.5,0,0,0,0,0,0
49,B&B Hardware v. Hargis,575 US __ (2015),2014,issue preclusion,Does a finding of a likelihood of confusion by the trademark trial and appeal board preclude a re-litigation in federal court?,Yes,precedent,,2,10,"7,2",2,"Alito,Roberts,Kennedy,Ginsburg,Breyer,Sotomayor,Kagan",,,"Scalia,Thomas",3,0,0,0,0,0,0,3,30,14,0,0,6,5,3.5,36,68,2,0,8,5,0.5,0,0,0,0,0,0
50,"Kellogg, Brown, & Root Services v. U.S. ex rel Carter",575 U.S. ___ (2015),2014,Wartime Suspension of Limitations Act (WSLA),Does the Wartime Suspension of Limitations Act’s statute of limitations tolling provision be applied to claims of civil fraud brought by private parties in a manner that leads to indefinite tolling?|Does the False Claims Act’s “first-to-file” bar act as a “one-case-at-a-time” rule allowing as many related claims to be filed as long as no prior claim is pending at the time of filing?”,No|Yes,"textualism, structuralism, puposive-ism",,2,13,"9,0",0,"Alito;Roberts,Kennedy,Scalia,Thomas,Ginsburg,Breyer,Sotomayor,Kagan",,,,5,0,0,0,0,0,0,4,0,0,0,55,0,49,5,7,18,0,35,45,40,0.5,0,0,0,0,0,0
51,Davis v. Ayala,576 U.S. ____ (2015),2014,"Preemptory challenges in jury selection and whether it was ""harmless error""","is a state court's determination that a federal constitutional violation is harmless error an ""adjudication on the merits"" for purposes of the antiterrorism and effective death penalty act of 1996? Did the court of appeals properly apply the standard articulated in brecht v abrahamson for reviewing whether a constitutional violation is harmless error?",harmless error,"doctrinl, pragmatic",,0,29,"5,4",1,"Alito,Roberts,Scalia,Thomas,Kennedy",,,"Sotomayor,Ginsburg,Kagan,Breyer",8,0,0,0,0,0,0,14,97,94,0,0,0,0,6,9.5,68.5,0,0,0,0,1,14,14,0,0,0,0
52,Glossip v. Gross,576 U.S. ____(2015),2014,8th Amendment,"Does Oklahoma's use of midazolam as the initial drug in the execution protocol, the same initial drug used in Clayton Lockett's execution, violate the Eighth Amendment's prohibition against cruel and unusual punishment?”",No,pragmatic and doctrinal,,0,29,"5,4",1,"Alito;Roberts,Scalia,Kennedy,Thomas",,,"Breyer;Ginsburg,Kagan,Sotomayor",8.5,0,0,0,0,0,0,11,96,101.5,0,0,0,0,10,24.5,137.5,0,0,0,0,0/1.5,0,0,0,0,0,0
53,Holt v. Hobbs,574 U.S. 352 (2015),2014,Religious Land use and Institutionalized Persons Act,Does the Arkansas department of corrections grooming policy violate the religious land use and institutionalized persons act by preventing holt from growing a one half inch beard in accordance with his religious beliefs?,Yes,pragmatism,,2,15,"9,0",0,"Alito;Roberts,Kennedy,Scalia,Thomas,Ginsburg,Breyer,Sotomayor,Kagan",,,,5.5,0,0,0,27,0,0,5.5,35,110,0,21,0,0,3.5,13,63,0,17,0,0,0.5,0,0,0,0,0,0
54,Comptroller of the Treasury of MD v. Wynne,575 U.S. ___ (2015),2014,Dormant Commerce Clause,“Does the dormant Commerce Clause of the Constitution prohibit states from taxing all the income of their residents by mandating a credit for taxes paid related to income earned in other states?”,Yes,precedent and pragmatism,,2,28,"5,4",1,"Alito;Roberts,Kennedy,Breyer,Sotomayor",,,"Scalia;Thomas,Ginsburg,Kagan",4,0,0,0,0,0,0,7,58,53,6,5,0,0,17,130,190,41,31,0,0,0,0,0,0,0,0,0
55,Ohio v. Clark,576 US ___ (2015),2014,sixth amendment confrontation clause,does the individual's obligation to report suspected child abuse make that individual an agent of law enforcement for purposes of the confrontation clause? Do a child's out of court statements to a teacher in response to a teachers concerns about potential child abuse qualify as testimonial statements subject to the confrontation clause?,No,precedent and pragmatism,,0,12,"9,0",0,"Alito;Roberts,Kennedy,Scalia,Thomas,Ginsburg,Breyer,Sotomayor,Kagan",,,,6.5,91,6,0,0,0,0,3.5,41,78,22,5,0,0,2,20,29,0,0,0,0,0,0,0,0,0,0,0
56,City and County of San Francisco v. Sheehan,575 U.S. ___(2015),2014,Qualified Immunity: Americans with Disabilities Act,"Did the officers violate a clearly established right under the Fourth Amendment when they forced entry into Sheehan’s room the second time?|Does the Americans with Disabilities Act require law enforcement officers to provide accommodations to an armed, violent and mentally ill suspect when attempting to take that suspect into custody?”",No|Unanswered,precedent,,2,17,"6,2",2,"Alito;Roberts,Kennedy,Thomas,Ginsburg,Sotomayor",,,Scalia;Kagan,6,0,0,0,0,0,0,6.5,29,69,0,0,0,0,3.5,48,41,0,0,0,0,1,0,0,0,0,0,0
57,Birchfield v. North Dakota,579 U.S. ___ (2016),2015,4th amendment,in the absence of a warrant may a state statute criminalize an individuals refusal to submit to a blood alcohol test?,No,pragmatic and doctrinal,,0,37,"7,1",2,"Alito,Roberts,Kennedy,Breyer,Ginsburg,Kagan,Sotomayor",,,Thomas,11,0,0,0,0,0,0,15,122.5,109.5,29,0,0,0,10,69,112.5,0,13,0,0,0.5,0,0,0,0,0,0
58,Menominee Indian Tribe of Wisconsin v. US,577 U.S. ___(2016),2015,Statute of limitations for filing claims with HHS,“Did the U.S. Court of Appeals for the District of Columbia Circuit properly hold that there were no extraordinary circumstances present in this case that would have prevented the statute of limitations from running?”,Yes,precedent,,2,9,"9,0",0,"Alito;Roberts,Kennedy,Thomas,Breyer,Scalia,Ginsburg,Sotomayor,Kagan",,,,4,0,0,0,0,0,0,2,10,29,0,0,0,5,2,25,10,0,0,0,0,1,0,0,0,0,0,0
59,Nichols v. US,578 U.S. __ (2016),2015,sex offender registration and notification act,is a convicted sexual offender required to update his residency under the sex offender registration and notification act if he moves outside of us jurisdiction?,No,textualism,,0,8,"8,0",0,"Alito,Roberts,Kennedy,Thomas,Breyer,Ginsburg,Sotomayor,Kagan",,,,3.75,0,0,0,0,0,0,1.5,0,0,0,8,13,36,2.75,0,30,0,5,5,17,0,0,0,0,0,0,0
60,Ocasio v. United States,578 U.S. ___(2016),2015,Conspiracy to violate the Hobbs Act (18 U.S.C. §1951); conspiracy: 18 U.S.C. §371,"""Does a conspiracy to commit extortion require that the conspirators agree to extort money or property from a third party outside of the conspiracy?”",,doctrinal,,2,17,"5,3",1,"Alito;Kennedy,Ginsburg,Breyer,Kagan",,,"Thomas;Sotomayor,Roberts",4,0,0,0,0,0,0,6,59,15,0,0,0,6,6,12,48,0,0,0,13.5,0/7,0,0,0,0,0,0
61,RJR Nabisco v. European Community,579 U.S. ____ (2016),2015,RICO (18 U.S.C. §§1962(a)-(d) &amp; §1964(c)),can the recketeer influenced corrupt organization statute apply extraterritorially?,Yes | No,"doctrinal, textualism, pragmatic",,2,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Spokeo, Inc. v. Robins",587 U.S. ___ (2016),2015,"Fair Credit Reporting Act,ended up being about standing",“Can Congress authorize a cause of action based on a violation of a federal statute and therefore confer Article III standing on a plaintiff who has not suffered concrete harm?”,,purposive-ism,,1,11,"6,2",2,"Alito;Roberts,Kennedy,Thomas,Breyer,Kagan",,,Ginsburg;Sotomayor,6,19,0,0,22,0,0,5,26,31,6,25,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Taylor v. US,579 U.S. __ (2016),2015,commerce clause analysis in context of hobbs act,can congress authorize a cause of action based on a violation of a federal statute and therefore confer article III standing on a plaintiff who has not suffered concrete harm?,Yes,precedent,,0,9,"7,1",2,"Alito,Roberts,Kennedy,Ginsburg,Sotomayor,Breyer,Kagan",,,Thomas,2.5,0,0,0,0,0,0,3.5,62,16,0,0,0,5,2.5,14,16,0,9,0,2,0.5,0,8,0,0,0,0
64,"Briston-Myers Squibb Co. v. Superior Court of CA, San Francisco Cty.",582 U.S. ___(2017),2016,Personal jurisdiction,“Do a plaintiff’s claims sufficiently arise out of or relate to a defendant’s forum activities to create specific jurisdiction when the plaintiff’s claims would be exactly the same even if the defendant had no forum contacts?”,No,doctrinal,,2,12,"8,1",2,"Alito;Thomas,Roberts,Gorsuch,Kennedy,Ginsburg,Kagan,Breyer",,,Sotomayor,3.75,0,0,0,0,0,0,4.75,96.5,26,0,12,0,0,3.5,29.5,18,0,0,0,0,0/3,0,0,0,0,0,0
65,County of Los Angeles v. Mendez,581 U.S.___(2017),2016,"4th Amendent and ""knock and announce"" rule",“May an officer be found liable under the Ninth Circuit’s provocation rule where it is determined that the officer’s use of force was reasonable and not excessive|Does an incident which leads to a reasonable use of force negate a prior Fourth Amendment unlawful entry violation?,Provocation rule needs to go,doctrinal and pragmatic,,0,11,"8,0",0,"Alito;Thomas,Roberts,Kennedy,Ginsburg,Sotomayor,Kagan,Breyer",,,,4.75,0,0,0,0,0,0,5,38.5,48,0,0,0,0,1,0,12,0,0,0,0,0/3,0,0,0,0,0,0
66,Jennings v. Rodriguez,583 U.S.___(2018),2016,INA detention,"Are noncitizens who are subject to mandatory detention under the relevant text of the Immigration and Nationality Act entitled to bond hearings, with the possibility of release, if their detentions last six months?|Are the noncitizens entitled to release unless the government proves by clear and convincing evidence that the non-citizens are dangers to their communities and flight risks?|Should the length of the noncitizen’s detention be weighed in favor of release, and should new bond hearings be provided automatically every six months?",No,textualism,,2,31,"5,4",1,"Alito;Roberts,Kennedy,Thomas,Gorsuch",,Thomas/Gorsuch,"Breyer;Ginsburg,Sotomayor",12,27,45,0,0,0,4,11,60,7,0,7,57,147,6,36,0,0,0,29,76,2,0,0,0,0,0,0
67,Matal v. Tam,582 U.S.___(2017),2016,1st Amendment and disparagement clause of Lanham Act (trademark registration),“Is the Disparagement Clause invalid under the First Amendment?”,Yes,doctrinal,,1,25,"8,0",0,"Alito;Thomas,Roberts,Kennedy,Ginsburg,Sotomayor,Kagan,Breyer",,,,8,0,0,0,2,0,0,4.5,24,12,0,22,0,0,13,100,78,0,0,0,33,0/3,0,0,0,0,0,0
68,Salman v. United States,580 U.S. ___(2016),2016,"Section 10(b) of the Securities Exchange Act of 1934,the Securitites and Exchange Commision's Rule 10b-5","“Is evidence of a close family relationship sufficient to sustain a conviction for insider trading, or must there be evidence that the individuals knew there would be financial gain through the exchange of information?”",Yes,precedent,,2,12,"8,0",0,"Alito;Roberts,Kennedy,Thomas,Breyer,Ginsburg,Sotomayor,Kagan",,,,7.5,0,0,0,0,0,0,2,62,0,0,0,0,0,1.5,29,16,0,0,0,0,1,0,0,0,0,0,0
69,"SCA Hygiene Products Aktiebolag v. First Quality Baby Products, LLC",580 U.S.___(2017),2016,Statute of limitations for patent infringement,Can the defense of an unreasonable delay in litigation bar claims for patent infringement that are brought within the six-year statutory period of limitations?,Yes,precedent,,2,16,"7,1",2,"Alito;Roberts,Kennedy,Thomas,Ginsburg,Sotomayor,Kagan",,,Breyer,4.5,13,0,0,23,0,0,1,15,0,0,12,0,0,10,74,32,0,27,9,3,0,0,0,0,0,0,0
70,"Town of Chester, NY v. Laroe Estates",581 U.S. ___(2017),2016,Article III standing,"“According to Article III of the U.S. Constitution, must intervenors to a lawsuit establish standing on their own, or may they join so long as there is a valid case or controversy between the named parties?”",,,,,8,"9,0",0,"Alito;Thomas,Roberts,Kennedy,Gorsuch,Ginsburg,Sotomayor,Kagan,Breyer",,,,3.5,0,0,0,0,0,0,4.5,32.5,13,0,16.5,0,0,0,0,0,0,0,0,0,0/3,0,0,0,0,0,0
71,Water Splash v. Menon,581 U.S. ___(2017),2016,Hague Service Convention - service of process when party is in foreign country,“Does the Hague Service Convention authorize service of process by mail?”,Yes,structuralism and textualism,,0,12,"8,0",0,"Alito;Thomas,Roberts,Kennedy,Ginsburg,Breyer,Kagan,Sotomayor",,,,3,0,0,0,0,0,0,8,41.5,0,0,16,29,14.5,3,4,0,0,4,12.5,33.5,0/3,0,0,0,0,0,0
72,Abbot v. Perez,585 U.S. ___(2018),2017,§ 2 of Voting Rights Act,Did the district court issue an appealable interlocutory injunction when it invalidated Texas’ enacted redistricting plan and ordered the parties to appear at a remedial hearing to redraw state congressional districts unless the Governor convened a special legislative session to redraw the congressional map within three days?|Did the Texas legislature act with an unlawful purpose when it enacted a redistricting plan originally imposed by the district court to remedy any possible constitutional and statutory defects in a previous legislative plan that was repealed before it took effect?|Did the Texas legislature engage in intentional vote dilution when it adopted Congressional District (CD) 27 in 2013 after the district court’s 2012 finding that CD 27 did not support a plausible claim of racially discriminatory purpose and did not dilute Latino voting strength because it was impossible to create an additional Latino opportunity district in the region?|Did the legislature engage in racial gerrymandering in CD 35 when it simply adopted the district unchanged as part of the court-ordered remedial plan?,No,precedent and pragmatism,,0,41,"5,4",1,"Alito;Kennedy,Roberts,Thomas,Gorsuch",,Thomas;Gorsuch,"Ginsburg;Sotomayor,Kagan,Breyer",20,51,113,0,14,26,5,20,111,227,0,8,0,0,,3,7,0,0,0,0,1,0,0,0,0,0,0
73,Ayestas v. Davis,584 U.S. ___(2018),2017,18 U.S.C. § 3599(f),Are investigative services under 18 U.S.C. § 3599(f) only “reasonably necessary” when the habeas petitioner requesting the services can meet the burden of proof for the underlying claim for habeas relief at the time of the request for the investigative services?,Yes,textualism and pragmatism,,2,19,"9,0",0,"Alito;Thomas,Roberts,Kennedy,Gorsuch,Ginsburg,Sotomayor,Kagan,Breyer",,,,14,16,48,0,6,0,12,5,11,39,0,11,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Husted v. Randolph Institute,584 U.S.___(2018),2017,52 U.S.C. § 20507,"Is Ohio’s list-maintenance process permissible under 52 U.S.C. § 20507, given that it relies on the inactivity of a registered voter as a ""trigger"" to send a confirmation notice to that voter under the NVRA and HAVA?",Yes,textualism and purposive-ism,,2,21,"5,4",1,"Alito;Thomas,Gorsuch,Kennedy,Roberts",,,"Kagan;Sotomayor,Ginsburg,Breyer",8,0,0,0,0,0,0,8,0,31,0,50,32,91,5,0,34,0,14,53,34,1,0,0,0,8,0,0
75,"Janus v. American Federation of State, County &amp; Municipal Employees",585 U.S.___(2018),2017,1 st Amendment. Union agency fees – final case in the line to overturn Abood,"“Should the Court’s decision in Abood v. Detroit Board of Education be overturned so that public employees who do not belong to a union cannot be required to pay a fee to cover the union’s costs to negotiate a contract that applies to all public employees, including those who are not union members?”",Yes,doctrinal and pragmatic ,,2,48,"5,4",1,"Alito;Thomas,Roberts,Kennedy,Gorsuch",,,"Kagan;Breyer,Sotomayor,Ginsburg",4,0,0,0,0,0,0,16,130,105,0,29.5,0,0,25,129,266,41,3,0,0,0/4,0,0,0,0,0,0
76,Koons v. United States,584 U.S.___(2018),2017,18 U.S.C.  3582,"Is a defendant whose sentence is based on a mandatory minimum sentence statute and reduced due to providing substantial assistance to the government eligible for a further sentence reduction under 18 U.S.C. § 3582(c)(2), when the Sentencing Commission retroactively lowers the advisory sentencing guidelines range that would have applied in the absence of the statutory mandatory minimum?",No,pragmatism and textualism,,0,7,"9,0",0,"Alito;Thomas,Roberts,Kennedy,Gorsuch,Ginsburg,Sotomayor,Kagan,Breyer",,,,3,0,0,0,0,0,0,3,9,46,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Murphy v. NCAA,584 U.S. ___(2018),2017,"The 1992 Professional &amp; Amateur Sports Protection Act (PASPA) 28 U.S.C. §§ 3701-3704, which prohibits state-sanctioned sports gambling|Anti-commandeering doctrine (10th Amendment)",“Does a federal statute that prohibits modification or repeal of state-law prohibitions on private conduct impermissibly commandeer the regulatory power of states in contravention of New York v. United States?”,Yes,doctrinal and pragmatic,,2,30,"6,3",2,"Alito;Kagan,Kennedy,Roberts,Gorsuch,Thomas",,,"Ginsburg;Sotomayor,Breyer",11,0,0,0,0,0,0,11,39,46,0,129.5,29,17.5,8,122.5,107.5,0,8,0,7,0.5,0,0,0,7,0,0
